Brand,Country,Industry,Current_Score,Volatility,Trend_Slope,Inflation_Performance,Cluster_Name
Elovena,FI,Food,126.98448152120234,11.732833094138934,6.109588491295377,,👑 The Royals
Valio,FI,Food,125.55833073871608,11.278178310619696,2.7506739536284055,15.067992172125074,👑 The Royals
S-Ryhmä,FI,Consumer Goods Corporations,117.67898374471855,22.366383848641885,7.562751247233458,,👑 The Royals
SINI,FI,Hygiene & Cleaning,113.82573716484869,5.174762789763159,4.237694974155097,,👑 The Royals
VR,FI,Passenger Transport,112.65182533366864,9.64095369901951,3.7947756927134515,,👑 The Royals
Yliopiston Apteekki,FI,Pharmacies,112.64661953576966,11.033484749501497,4.492604090656324,,👑 The Royals
Ekoplaza,NL,Grocery Stores,111.13245577388867,4.088578657732419,5.782123388594371,,👑 The Royals
Fazer,FI,Food,110.74724332185475,9.985154211625803,2.3620947281193967,14.813788630815296,👑 The Royals
Prisma,FI,Grocery Stores,110.60422520271489,12.50284056741883,3.5170094581387064,17.866910167312,👑 The Royals
Tony's Chocolonely,NL,Food,110.57412632949281,4.6552051421871905,1.6832540467511166,,👑 The Royals
S-market,FI,Grocery Stores,109.61210103513733,11.130940343624319,2.9771429452183087,16.332769822549082,👑 The Royals
K-ryhmä,FI,Consumer Goods Corporations,108.9261905090563,14.249082289649282,3.9804888022262124,,👑 The Royals
Myllyn Paras,FI,Food,107.8066598730801,10.420835045866765,2.4619670843290584,13.29616147333509,👑 The Royals
Kotimaista,FI,Food,107.1612114851894,7.7306798541821555,2.3390887219785803,,👑 The Royals
K-Supermarket,FI,Grocery Stores,104.91990867432604,9.726085948350606,3.383580906919144,,👑 The Royals
K-Market,FI,Grocery Stores,103.44053525299842,10.223760672549714,2.5854920104737262,12.010624482084992,👑 The Royals
Serla,FI,Hygiene & Cleaning,103.30222041871846,2.4851888011479337,-3.514587707641141,,👑 The Royals
Fiskars,FI,Hobby & Leisure,100.56362649109099,10.695988255761218,3.3454109846888818,,👑 The Royals
Vaasan,FI,Food,100.02121796126961,10.708170169951917,2.037674330900753,8.087501267267612,👑 The Royals
Änglamark,DK,Food,100.00303280421319,1.4426945144421948,-0.9793491944580522,,👑 The Royals
K-Citymarket,FI,Grocery Stores,99.7852636902684,10.957525308071688,2.889191337928836,14.661499851404542,👑 The Royals
Partioaitta,FI,Clothes & Fashion - Stores,99.38328588078673,7.179131235610374,2.2681417262424652,,👑 The Royals
Kokkikartano,FI,Food,99.36319947980842,4.270301032343328,-3.3362797201092955,,👑 The Royals
Myllärin,FI,Food,98.9249121493327,4.336399193973592,-3.1833980699375526,,👑 The Royals
Halti,FI,Clothes & Fashion - Brands,98.58671563359225,1.7320690608152958,1.2920359350288138,,👑 The Royals
LV,FI,Beauty,97.90863710276388,1.1786476609341792,1.6668595073524415,,👑 The Royals
Oululainen,FI,Food,97.56094109554823,10.906691938243991,1.834168279277252,6.52137896958142,👑 The Royals
Finlayson,FI,Furniture & Decoration - Brands,97.36423113121934,8.520764012218983,1.5514301227310567,6.443306467394791,👑 The Royals
Iittala,FI,Furniture & Decoration - Brands,97.30226720028814,12.499526114719261,4.5435406542786065,,👑 The Royals
S-Pankki,FI,Banks,96.33957009325684,11.396420197442172,2.8486638114864395,17.443977274533225,👑 The Royals
Pentik,FI,Furniture & Decoration - Stores,94.14576733036346,9.605253335799011,4.929279496783629,,👑 The Royals
IKEA,NL,Furniture & Decoration,93.7278623224669,5.2441414298360725,0.7080973069313966,,👑 The Royals
Lambi,FI,Hygiene & Cleaning,93.19887741911276,1.8874432798592604,-2.669247884586923,,👑 The Royals
Dopper,NL,Other,93.11380942254655,5.8430683519311755,-4.933319883026471,,👑 The Royals
Systembolaget,SE,Grocery Stores,93.07018197028356,5.8600516663876885,0.8509480714573525,16.659580815226427,👑 The Royals
Suomalainen Kirjakauppa,FI,Hobby & Leisure,92.4310877441709,6.544656885609811,3.3266399288131288,,👑 The Royals
Avainapteekit,FI,Pharmacies,91.99380010258115,10.604969019600542,4.003649851967739,,👑 The Royals
Zonnatura,NL,Food,91.92705104513544,4.857016648342995,0.3086185553706768,,👑 The Royals
REMA 1000,DK,Grocery Stores,91.92186135127626,14.908434164042157,3.3446553080761072,29.883705224326743,👑 The Royals
Marimekko,FI,Clothes & Fashion - Brands,91.20660299545898,9.85576144999465,2.3518008467512934,8.69045481923635,👑 The Royals
Arla,FI,Food,91.10945059989207,11.940546009940197,2.3327481319118872,10.76598990882745,👑 The Royals
Paulig,FI,Beverage,91.008740686492,8.396018370926097,1.6267421853367494,0.2811521692571546,👑 The Royals
Saarioinen,FI,Food,90.95296886290711,10.155964455031091,2.0601633676058,-1.4437628959510675,👑 The Royals
Lumme,FI,Hygiene & Cleaning,90.94644533095232,3.444859164354904,4.871766550695952,,👑 The Royals
HSL,FI,Passenger Transport,90.41260639274276,4.98085059635737,3.142068017978565,,👑 The Royals
Apetit,FI,Food,90.32916666075629,11.264063217240054,2.7834704128392773,12.756540867364208,👑 The Royals
Greenchoice,NL,Energy,90.15318107641356,5.052127800174875,-0.7382538884118527,,👑 The Royals
Dille & Kamille,NL,Hobby & Leisure,89.5719722674673,5.301974573066181,-4.177671718252121,,👑 The Royals
Hartwall,FI,Beverage,89.49821196889506,11.382404225748633,2.7793117724788456,,👑 The Royals
Folkhälsomyndigheten,SE,Governmental Institutions,89.25811496763258,3.8994801603364335,1.8642310415484973,,👑 The Royals
Sokos Hotels,FI,Hotels,88.96876427716352,9.675651065169726,1.9831802721169207,2.578601501692674,👑 The Royals
ANWB,NL,Mobility,88.71969538227589,7.4185609941237,0.49012050549683006,,👑 The Royals
De Vegetarische Slager,NL,Food,88.62264494679218,9.30167279634886,-4.712442109847314,,👑 The Royals
Atria,FI,Food,88.28011188937778,8.98766870955263,1.9712282477548175,6.438766172633791,👑 The Royals
Grumme,SE,Hygiene & Cleaning,88.27572386836314,3.8656567052721376,-3.754392652000597,,👑 The Royals
Marktplaats,NL,E-commerce,88.15242624563837,4.16986736980095,3.552894477323747,,👑 The Royals
Erisan,FI,Hygiene & Cleaning,88.06109404822206,3.091407835893338,4.371910888346818,,👑 The Royals
Snellman,FI,Food,87.72784799316126,8.62366311277755,1.0395887252864169,-5.180983671499092,👑 The Royals
Oddlygood,FI,Food,87.71764985429897,4.246897598560429,-6.006020181893888,,👑 The Royals
Panda,FI,Food,87.57957713027893,11.743165288021437,2.230331391494662,12.333455873735453,👑 The Royals
Änglamark,NO,Food,86.92043695376644,1.3349179000943903,1.887858998968099,,👑 The Royals
Artek,FI,Furniture & Decoration - Brands,86.34501265691831,9.01275195946654,3.913389647226753,,👑 The Royals
Kiilto,FI,Hygiene & Cleaning,86.06396659056269,4.9444365571320095,-4.781662018886685,,👑 The Royals
Arabia,FI,Furniture & Decoration - Brands,85.96649469567174,9.186550054040334,3.3539054895455807,,👑 The Royals
Sunnuntai,FI,Food,85.56174430153807,8.798644183768197,4.409503855145837,,👑 The Royals
Lumene,FI,Beauty,84.8954252392408,9.818688208304872,3.272208406465922,,👑 The Royals
Kariniemen,FI,Food,84.59079118669273,9.905205542662463,1.390890796416228,-1.656937207983617,👑 The Royals
OP,FI,Banks,84.3942067230006,9.199875335742302,2.150933682696316,7.975510846856523,👑 The Royals
Oatly,FI,Food,84.21242431198141,7.113265848627424,0.9658510849586932,,👑 The Royals
Lego,DK,Hobby & Leisure,83.42259549927307,7.2853205338665115,0.39566960841762405,,👑 The Royals
Finn.no,NO,E-commerce,83.40392058469492,7.09694744204533,-2.744459762721914,,👑 The Royals
Meira,FI,Beverage,83.34594533753162,11.525401167151585,3.7645362025263256,,👑 The Royals
ØGO,DK,Food,83.22238113367878,4.509563453797618,-6.377485796742647,,👑 The Royals
Alko,FI,Grocery Stores,83.08419178946521,9.194291661592091,1.5515359656347578,5.010748166653528,👑 The Royals
LähiTapiola,FI,Insurance & Pension,83.06858043009497,9.282596929835835,3.3522102034456145,,👑 The Royals
Hackman,FI,Furniture & Decoration - Brands,83.01762686931981,6.185118430477906,2.088725208812415,,👑 The Royals
Matkahuolto,FI,Parcels & Logistics,82.7965671015123,14.057258295552332,4.999422449483737,,👑 The Royals
Serto,FI,Hygiene & Cleaning,82.5552698093495,7.829784203411339,11.072987010918936,,👑 The Royals
Lapland Hotels,FI,Hotels,82.37606933452277,11.065108367769833,4.665571723282901,,👑 The Royals
Hyvän mielen Apteekit,FI,Pharmacies,82.3312596941455,6.428492685869931,2.8817960352817353,,👑 The Royals
NS,NL,Mobility,82.17688515639297,7.241148196818855,1.1752845110693853,,👑 The Royals
Posti,FI,Parcels & Logistics,81.877241572335,6.339774787288496,3.323205370551779,,👑 The Royals
Posten,NO,Parcels & Logistics,81.79570106460173,5.860724377699771,0.9868720564740836,,👑 The Royals
Lantmännen,SE,Food,81.77221970515909,4.887346967401347,-0.25278347590386185,-4.02001410715085,👑 The Royals
IKEA,SE,Furniture & Decoration - Stores,81.74049849397638,6.247387850282484,0.1264868818022809,1.7018925646969123,👑 The Royals
Q-Meieriene,NO,Food,81.73024995169513,10.57535895871996,1.827414964359016,24.372413344876996,👑 The Royals
Flytoget,NO,Passenger Transport,81.65100094003634,3.764617101834585,-1.0415576728231417,,👑 The Royals
